tag,English,Icon,Spatial
,,resting.png,
,,right.png,
2,earthquake,Learthquake.png,LeftIncon
,,resting.png,
,,left.png,
6,asthma,Rasthma.png,RightIncon
,,resting.png,
,,middle.png,
3,horse,Lhorse.png,LeftIrre
,,resting.png,
,,left.png,
6,expression,Rexpression.png,RightIncon
,,resting.png,
,,xsp.png,
4,thing,Lthing.png,LeftNoG
,,resting.png,
,,left.png,
6,telephone,Rtelephone.png,RightIncon
,,resting.png,
,,right.png,
5,arm,Rarm.png,RightCong
,,resting.png,
,,middle.png,
3,hurricane,Lhurricane.png,LeftIrre
,,resting.png,
,,middle.png,
7,ancestor,Rancestor.png,RightIrre
,,resting.png,
,,xsp.png,
8,hair,Rhair.png,RightNoG
,,resting.png,
,,right.png,
2,dialect,Ldialect.png,LeftIncon
,,resting.png,
,,left.png,
6,spider,Rspider.png,RightIncon
,,resting.png,
,,right.png,
5,diagram,Rdiagram.png,RightCong
,,resting.png,
,,left.png,
6,peach,Rpeach.png,RightIncon
,,resting.png,
,,left.png,
1,house,Lhouse.png,LeftCong
,,resting.png,
,,xsp.png,
8,goose,Rgoose.png,RightNoG
,,resting.png,
,,middle.png,
7,position,Rposition.png,RightIrre
,,resting.png,
,,left.png,
1,answer,Lanswer.png,LeftCong
,,resting.png,
,,middle.png,
7,vaccine,Rvaccine.png,RightIrre
,,resting.png,
,,right.png,
5,intestine,Rintestine.png,RightCong
,,resting.png,
,,xsp.png,
8,mermaid,Rmermaid.png,RightNoG
,,resting.png,
,,left.png,
1,sculptor,Lsculptor.png,LeftCong
,,resting.png,
,,middle.png,
3,history,Lhistory.png,LeftIrre
,,resting.png,
,,xsp.png,
4,digit,Ldigit.png,LeftNoG
,,resting.png,
,,right.png,
5,freedom,Rfreedom.png,RightCong
,,resting.png,
,,right.png,
2,society,Lsociety.png,LeftIncon
,,resting.png,
,,xsp.png,
4,problem,Lproblem.png,LeftNoG
,,resting.png,
,,xsp.png,
4,project,Lproject.png,LeftNoG
,,resting.png,
,,middle.png,
7,change,Rchange.png,RightIrre
,,resting.png,
,,left.png,
1,monkey,Lmonkey.png,LeftCong
,,resting.png,
,,xsp.png,
8,marriage,Rmarriage.png,RightNoG
,,resting.png,
,,middle.png,
3,inertia,Linertia.png,LeftIrre
,,resting.png,
,,right.png,
2,adverb,Ladverb.png,LeftIncon
,,resting.png,
,,middle.png,
7,nail,Rnail.png,RightIrre
,,resting.png,
,,middle.png,
3,gymnasium,Lgymnasium.png,LeftIrre
,,resting.png,
,,xsp.png,
8,heat,Rheat.png,RightNoG
,,resting.png,
,,xsp.png,
4,wall,Lwall.png,LeftNoG
,,resting.png,
,,right.png,
2,example,Lexample.png,LeftIncon
,,resting.png,
,,right.png,
5,bean,Rbean.png,RightCong
,,resting.png,
,,left.png,
1,banana,Lbanana.png,LeftCong
