tag,English,Icon,Spatial
,,resting.png,
,,right.png,
3,telescope,Ltelescope.png,LeftIncon
,,resting.png,
,,right.png,
6,lice,Rlice.png,RightCong
,,resting.png,
,,middle.png,
4,rigidity,Lrigidity.png,LeftIrre
,,resting.png,
,,middle.png,
8,reason,Rreason.png,RightIrre
,,resting.png,
,,left.png,
2,coconut,Lcoconut.png,LeftCong
,,resting.png,
,,right.png,
3,broom,Lbroom.png,LeftIncon
,,resting.png,
,,right.png,
6,grape,Rgrape.png,RightCong
,,resting.png,
,,middle.png,
8,crow,Rcrow.png,RightIrre
,,resting.png,
,,middle.png,
4,magnet,Lmagnet.png,LeftIrre
,,resting.png,
,,middle.png,
8,food,Rfood.png,RightIrre
,,resting.png,
,,middle.png,
4,sausage,Lsausage.png,LeftIrre
,,resting.png,
,,middle.png,
4,agreement,Lagreement.png,LeftIrre
,,resting.png,
,,left.png,
7,shrimp,Rshrimp.png,RightIncon
,,resting.png,
,,right.png,
3,blood,Lblood.png,LeftIncon
,,resting.png,
,,right.png,
3,issue,Lissue.png,LeftIncon
,,resting.png,
,,left.png,
2,bracelet,Lbracelet.png,LeftCong
,,resting.png,
,,xsp.png,
1,knuckle,Rknuckle.png,RightNoG
,,resting.png,
,,right.png,
6,hypocrite,Rhypocrite.png,RightCong
,,resting.png,
,,middle.png,
4,eagle,Leagle.png,LeftIrre
,,resting.png,
,,xsp.png,
1,figure,Rfigure.png,RightNoG
,,resting.png,
,,xsp.png,
1,hour,Rhour.png,RightNoG
,,resting.png,
,,xsp.png,
1,blessing,Rblessing.png,RightNoG
,,resting.png,
,,left.png,
2,claw,Lclaw.png,LeftCong
,,resting.png,
,,xsp.png,
5,winner,Lwinner.png,LeftNoG
,,resting.png,
,,left.png,
7,door,Rdoor.png,RightIncon
,,resting.png,
,,left.png,
7,wig,Rwig.png,RightIncon
,,resting.png,
,,xsp.png,
5,trumpet,Ltrumpet.png,LeftNoG
,,resting.png,
,,middle.png,
8,life,Rlife.png,RightIrre
,,resting.png,
,,left.png,
7,wasp,Rwasp.png,RightIncon
,,resting.png,
,,right.png,
6,parachute,Rparachute.png,RightCong
,,resting.png,
,,xsp.png,
5,table,Ltable.png,LeftNoG
,,resting.png,
,,middle.png,
8,sinner,Rsinner.png,RightIrre
,,resting.png,
,,left.png,
7,octopus,Roctopus.png,RightIncon
,,resting.png,
,,xsp.png,
5,triangle,Ltriangle.png,LeftNoG
,,resting.png,
,,xsp.png,
5,husband,Lhusband.png,LeftNoG
,,resting.png,
,,left.png,
2,street,Lstreet.png,LeftCong
,,resting.png,
,,right.png,
6,dog,Rdog.png,RightCong
,,resting.png,
,,xsp.png,
1,skeleton,Rskeleton.png,RightNoG
,,resting.png,
,,right.png,
3,brake,Lbrake.png,LeftIncon
,,resting.png,
,,left.png,
2,question,Lquestion.png,LeftCong
