tag,English,Icon,Spatial
,,xsp.png,
6,service,Lservice.png,LeftNoG
,,xsp.png,
2,ant,Rant.png,RightNoG
,,left.png,
3,abduction,Labduction.png,LeftCong
,,middle.png,
1,music,Rmusic.png,RightIrre
,,middle.png,
1,hymn,Rhymn.png,RightIrre
,,middle.png,
1,garlic,Rgarlic.png,RightIrre
,,middle.png,
5,family,Lfamily.png,LeftIrre
,,right.png,
4,attention,Lattention.png,LeftIncon
,,left.png,
8,crucifix,Rcrucifix.png,RightIncon
,,right.png,
4,voice,Lvoice.png,LeftIncon
,,right.png,
7,method,Rmethod.png,RightCong
,,middle.png,
1,production,Rproduction.png,RightIrre
,,left.png,
3,corner,Lcorner.png,LeftCong
,,xsp.png,
2,number,Rnumber.png,RightNoG
,,left.png,
8,part,Rpart.png,RightIncon
,,left.png,
3,burglar,Lburglar.png,LeftCong
,,right.png,
4,city,Lcity.png,LeftIncon
,,xsp.png,
2,duck,Rduck.png,RightNoG
,,xsp.png,
6,mushroom,Lmushroom.png,LeftNoG
,,left.png,
8,king,Rking.png,RightIncon
,,xsp.png,
6,school,Lschool.png,LeftNoG
,,left.png,
3,money,Lmoney.png,LeftCong
,,xsp.png,
6,law,Llaw.png,LeftNoG
,,right.png,
7,image,Rimage.png,RightCong
,,right.png,
4,calorie,Lcalorie.png,LeftIncon
,,right.png,
7,country,Rcountry.png,RightCong
,,right.png,
7,olive,Rolive.png,RightCong
,,left.png,
8,coffee,Rcoffee.png,RightIncon
,,right.png,
4,esteem,Lesteem.png,LeftIncon
,,right.png,
7,girl,Rgirl.png,RightCong
,,middle.png,
1,boxer,Rboxer.png,RightIrre
,,xsp.png,
6,car,Lcar.png,LeftNoG
,,middle.png,
5,clown,Lclown.png,LeftIrre
,,left.png,
3,memory,Lmemory.png,LeftCong
,,middle.png,
5,almond,Lalmond.png,LeftIrre
,,left.png,
8,peanut,Rpeanut.png,RightIncon
,,middle.png,
5,opinion,Lopinion.png,LeftIrre
,,xsp.png,
2,mind,Rmind.png,RightNoG
,,xsp.png,
2,magician,Rmagician.png,RightNoG
,,middle.png,
5,day,Lday.png,LeftIrre
