tag,English,Icon,Spatial
,,xsp.png,
3,light,Rlight.png,RightNoG
,,middle.png,
6,style,Lstyle.png,LeftIrre
,,right.png,
8,parrot,Rparrot.png,RightCong
,,xsp.png,
3,situation,Rsituation.png,RightNoG
,,left.png,
1,reality,Rreality.png,RightIncon
,,xsp.png,
3,friend,Rfriend.png,RightNoG
,,xsp.png,
3,pharmacy,Rpharmacy.png,RightNoG
,,left.png,
1,order,Rorder.png,RightIncon
,,right.png,
8,allergy,Rallergy.png,RightCong
,,left.png,
1,torture,Rtorture.png,RightIncon
,,xsp.png,
7,summer,Lsummer.png,LeftNoG
,,left.png,
4,axe,Laxe.png,LeftCong
,,right.png,
5,future,Lfuture.png,LeftIncon
,,left.png,
1,mouth,Rmouth.png,RightIncon
,,xsp.png,
7,camel,Lcamel.png,LeftNoG
,,middle.png,
2,week,Rweek.png,RightIrre
,,right.png,
8,feminist,Rfeminist.png,RightCong
,,middle.png,
6,marathon,Lmarathon.png,LeftIrre
,,xsp.png,
7,face,Lface.png,LeftNoG
,,right.png,
5,center,Lcenter.png,LeftIncon
,,xsp.png,
7,character,Lcharacter.png,LeftNoG
,,xsp.png,
7,fisherman,Lfisherman.png,LeftNoG
,,right.png,
8,floor,Rfloor.png,RightCong
,,middle.png,
6,bed,Lbed.png,LeftIrre
,,middle.png,
6,attitude,Lattitude.png,LeftIrre
,,right.png,
5,tradition,Ltradition.png,LeftIncon
,,middle.png,
2,trophy,Rtrophy.png,RightIrre
,,right.png,
5,literature,Lliterature.png,LeftIncon
,,middle.png,
6,body,Lbody.png,LeftIrre
,,left.png,
4,analysis,Lanalysis.png,LeftCong
,,xsp.png,
3,carnival,Rcarnival.png,RightNoG
,,right.png,
5,napkin,Lnapkin.png,LeftIncon
,,middle.png,
2,war,Rwar.png,RightIrre
,,left.png,
1,morning,Rmorning.png,RightIncon
,,middle.png,
2,orphan,Rorphan.png,RightIrre
,,left.png,
4,level,Llevel.png,LeftCong
,,left.png,
4,dynamite,Ldynamite.png,LeftCong
,,left.png,
4,series,Lseries.png,LeftCong
,,middle.png,
2,letter,Rletter.png,RightIrre
,,right.png,
8,cabbage,Rcabbage.png,RightCong
