tag,English,Icon,Spatial
,,xsp.png,
4,rigidity,Rrigidity.png,RightNoG
,,middle.png,
3,telescope,Rtelescope.png,RightIrre
,,left.png,
5,winner,Lwinner.png,LeftCong
,,middle.png,
7,octopus,Loctopus.png,LeftIrre
,,right.png,
6,hypocrite,Lhypocrite.png,LeftIncon
,,middle.png,
3,issue,Rissue.png,RightIrre
,,right.png,
6,lice,Llice.png,LeftIncon
,,right.png,
1,knuckle,Rknuckle.png,RightCong
,,middle.png,
7,wasp,Lwasp.png,LeftIrre
,,xsp.png,
8,life,Llife.png,LeftNoG
,,left.png,
5,triangle,Ltriangle.png,LeftCong
,,left.png,
5,husband,Lhusband.png,LeftCong
,,middle.png,
3,brake,Rbrake.png,RightIrre
,,right.png,
1,blessing,Rblessing.png,RightCong
,,middle.png,
3,blood,Rblood.png,RightIrre
,,xsp.png,
8,crow,Lcrow.png,LeftNoG
,,middle.png,
7,door,Ldoor.png,LeftIrre
,,right.png,
6,grape,Lgrape.png,LeftIncon
,,right.png,
1,skeleton,Rskeleton.png,RightCong
,,left.png,
2,bracelet,Rbracelet.png,RightIncon
,,left.png,
2,claw,Rclaw.png,RightIncon
,,left.png,
5,table,Ltable.png,LeftCong
,,xsp.png,
4,agreement,Ragreement.png,RightNoG
,,xsp.png,
4,sausage,Rsausage.png,RightNoG
,,xsp.png,
8,sinner,Lsinner.png,LeftNoG
,,xsp.png,
8,reason,Lreason.png,LeftNoG
,,left.png,
5,trumpet,Ltrumpet.png,LeftCong
,,right.png,
6,parachute,Lparachute.png,LeftIncon
,,xsp.png,
4,eagle,Reagle.png,RightNoG
,,left.png,
2,coconut,Rcoconut.png,RightIncon
,,middle.png,
3,broom,Rbroom.png,RightIrre
,,left.png,
2,street,Rstreet.png,RightIncon
,,right.png,
1,figure,Rfigure.png,RightCong
,,xsp.png,
8,food,Lfood.png,LeftNoG
,,xsp.png,
4,magnet,Rmagnet.png,RightNoG
,,middle.png,
7,wig,Lwig.png,LeftIrre
,,left.png,
2,question,Rquestion.png,RightIncon
,,middle.png,
7,shrimp,Lshrimp.png,LeftIrre
,,right.png,
1,hour,Rhour.png,RightCong
,,right.png,
6,dog,Ldog.png,LeftIncon
