tag,English,Icon,Spatial
,,right.png,
2,mind,Rmind.png,RightCong
,,left.png,
3,memory,Rmemory.png,RightIncon
,,xsp.png,
1,boxer,Lboxer.png,LeftNoG
,,left.png,
3,money,Rmoney.png,RightIncon
,,right.png,
2,number,Rnumber.png,RightCong
,,right.png,
2,duck,Rduck.png,RightCong
,,middle.png,
8,king,Lking.png,LeftIrre
,,middle.png,
4,attention,Rattention.png,RightIrre
,,middle.png,
8,crucifix,Lcrucifix.png,LeftIrre
,,left.png,
6,law,Llaw.png,LeftCong
,,xsp.png,
5,family,Rfamily.png,RightNoG
,,middle.png,
8,peanut,Lpeanut.png,LeftIrre
,,right.png,
2,ant,Rant.png,RightCong
,,middle.png,
8,coffee,Lcoffee.png,LeftIrre
,,left.png,
6,car,Lcar.png,LeftCong
,,xsp.png,
5,opinion,Ropinion.png,RightNoG
,,right.png,
7,girl,Lgirl.png,LeftIncon
,,middle.png,
4,voice,Rvoice.png,RightIrre
,,xsp.png,
1,hymn,Lhymn.png,LeftNoG
,,left.png,
3,corner,Rcorner.png,RightIncon
,,xsp.png,
1,garlic,Lgarlic.png,LeftNoG
,,middle.png,
8,part,Lpart.png,LeftIrre
,,middle.png,
4,esteem,Resteem.png,RightIrre
,,right.png,
7,method,Lmethod.png,LeftIncon
,,middle.png,
4,city,Rcity.png,RightIrre
,,xsp.png,
5,almond,Ralmond.png,RightNoG
,,xsp.png,
5,clown,Rclown.png,RightNoG
,,left.png,
3,abduction,Rabduction.png,RightIncon
,,middle.png,
4,calorie,Rcalorie.png,RightIrre
,,xsp.png,
1,music,Lmusic.png,LeftNoG
,,right.png,
7,country,Lcountry.png,LeftIncon
,,right.png,
2,magician,Rmagician.png,RightCong
,,right.png,
7,image,Limage.png,LeftIncon
,,left.png,
6,mushroom,Lmushroom.png,LeftCong
,,xsp.png,
1,production,Lproduction.png,LeftNoG
,,left.png,
6,school,Lschool.png,LeftCong
,,left.png,
6,service,Lservice.png,LeftCong
,,xsp.png,
5,day,Rday.png,RightNoG
,,left.png,
3,burglar,Rburglar.png,RightIncon
,,right.png,
7,olive,Lolive.png,LeftIncon
