tag,English,Icon,Spatial
,,left.png,
4,rigidity,Rrigidity.png,RightIncon
,,left.png,
4,sausage,Rsausage.png,RightIncon
,,right.png,
8,crow,Lcrow.png,LeftIncon
,,middle.png,
5,triangle,Rtriangle.png,RightIrre
,,right.png,
3,issue,Rissue.png,RightCong
,,xsp.png,
6,hypocrite,Rhypocrite.png,RightNoG
,,xsp.png,
6,grape,Rgrape.png,RightNoG
,,middle.png,
1,hour,Lhour.png,LeftIrre
,,left.png,
7,shrimp,Lshrimp.png,LeftCong
,,right.png,
8,sinner,Lsinner.png,LeftIncon
,,right.png,
8,food,Lfood.png,LeftIncon
,,middle.png,
5,husband,Rhusband.png,RightIrre
,,middle.png,
1,blessing,Lblessing.png,LeftIrre
,,middle.png,
5,table,Rtable.png,RightIrre
,,left.png,
7,wasp,Lwasp.png,LeftCong
,,right.png,
3,blood,Rblood.png,RightCong
,,xsp.png,
2,question,Lquestion.png,LeftNoG
,,xsp.png,
2,bracelet,Lbracelet.png,LeftNoG
,,middle.png,
1,figure,Lfigure.png,LeftIrre
,,middle.png,
1,skeleton,Lskeleton.png,LeftIrre
,,middle.png,
1,knuckle,Lknuckle.png,LeftIrre
,,right.png,
3,brake,Rbrake.png,RightCong
,,left.png,
7,octopus,Loctopus.png,LeftCong
,,right.png,
8,reason,Lreason.png,LeftIncon
,,right.png,
8,life,Llife.png,LeftIncon
,,left.png,
4,eagle,Reagle.png,RightIncon
,,left.png,
4,magnet,Rmagnet.png,RightIncon
,,left.png,
7,door,Ldoor.png,LeftCong
,,xsp.png,
2,street,Lstreet.png,LeftNoG
,,right.png,
3,telescope,Rtelescope.png,RightCong
,,xsp.png,
2,coconut,Lcoconut.png,LeftNoG
,,left.png,
4,agreement,Ragreement.png,RightIncon
,,xsp.png,
6,lice,Rlice.png,RightNoG
,,right.png,
3,broom,Rbroom.png,RightCong
,,middle.png,
5,winner,Rwinner.png,RightIrre
,,xsp.png,
2,claw,Lclaw.png,LeftNoG
,,left.png,
7,wig,Lwig.png,LeftCong
,,xsp.png,
6,parachute,Rparachute.png,RightNoG
,,middle.png,
5,trumpet,Rtrumpet.png,RightIrre
,,xsp.png,
6,dog,Rdog.png,RightNoG
