tag,English,Icon,Spatial
,,right.png,
1,sculptor,Lsculptor.png,LeftIncon
,,middle.png,
6,peach,Rpeach.png,RightIrre
,,left.png,
5,bean,Rbean.png,RightIncon
,,right.png,
1,house,Lhouse.png,LeftIncon
,,right.png,
4,thing,Rthing.png,RightCong
,,middle.png,
2,dialect,Ldialect.png,LeftIrre
,,middle.png,
2,adverb,Ladverb.png,LeftIrre
,,right.png,
4,digit,Rdigit.png,RightCong
,,left.png,
8,mermaid,Lmermaid.png,LeftCong
,,right.png,
4,problem,Rproblem.png,RightCong
,,middle.png,
6,expression,Rexpression.png,RightIrre
,,xsp.png,
3,gymnasium,Lgymnasium.png,LeftNoG
,,middle.png,
6,asthma,Rasthma.png,RightIrre
,,right.png,
1,answer,Lanswer.png,LeftIncon
,,left.png,
8,hair,Lhair.png,LeftCong
,,right.png,
1,monkey,Lmonkey.png,LeftIncon
,,xsp.png,
3,hurricane,Lhurricane.png,LeftNoG
,,left.png,
5,arm,Rarm.png,RightIncon
,,xsp.png,
7,position,Rposition.png,RightNoG
,,xsp.png,
3,inertia,Linertia.png,LeftNoG
,,left.png,
5,diagram,Rdiagram.png,RightIncon
,,left.png,
5,freedom,Rfreedom.png,RightIncon
,,middle.png,
6,spider,Rspider.png,RightIrre
,,xsp.png,
7,ancestor,Rancestor.png,RightNoG
,,middle.png,
2,example,Lexample.png,LeftIrre
,,right.png,
4,project,Rproject.png,RightCong
,,xsp.png,
3,horse,Lhorse.png,LeftNoG
,,right.png,
4,wall,Rwall.png,RightCong
,,left.png,
8,goose,Lgoose.png,LeftCong
,,middle.png,
2,earthquake,Learthquake.png,LeftIrre
,,xsp.png,
7,nail,Rnail.png,RightNoG
,,left.png,
8,marriage,Lmarriage.png,LeftCong
,,left.png,
8,heat,Lheat.png,LeftCong
,,right.png,
1,banana,Lbanana.png,LeftIncon
,,middle.png,
2,society,Lsociety.png,LeftIrre
,,xsp.png,
7,vaccine,Rvaccine.png,RightNoG
,,middle.png,
6,telephone,Rtelephone.png,RightIrre
,,left.png,
5,intestine,Rintestine.png,RightIncon
,,xsp.png,
3,history,Lhistory.png,LeftNoG
,,xsp.png,
7,change,Rchange.png,RightNoG
